set,om,biol,code,CMP,median_C,median_IACC,median_SBMSY,q25_C,q25_IACC,q25_SBMSY,q75_C,q75_IACC,q75_SBMSY
reference,h1_0.16,CJM,tun29,HS+20,1894.66571853511,3.48211570840829,1.51678317188188,1196.53105219288,5.32021816046502e-07,0.842013146415439,1999.99998704163,10.4704931749695,2.4203319152517
reference,h1_0.16,CJM,tun32,PR+20,1898.80508827676,9.68833918307611,1.45313761182676,1151.60510718222,6.48285263796435,0.86433173801275,2496.58719184298,14.0424754406706,2.16276519577236
reference,h1_0.16,CJM,tun43,HS-20,1904.77982369591,3.49955563884474,1.47262518182246,1128.66533472531,5.29327675025115e-07,0.796718742536709,1999.99998667802,10.5446144293529,2.38786923147252
reference,h1_0.16,CJM,tun44,PR-20,1963.72768570653,10.1863220301742,1.47147369503474,1106.27606341277,6.53821555915791,0.890999441973111,2591.57504536478,14.3171291605495,2.19292848139813
reference,h1_0.16,CJM,tun45,HSsym,1902.54937963254,3.26995301199252,1.49020376631955,1157.68033863985,5.4142118122158e-07,0.819302662313497,1999.99998709588,10.0552403038314,2.41897037669466
reference,h1_0.16,CJM,tun46,PRsym,1940.82546125544,9.66955451790976,1.4629970092257,1128.49961607294,6.50711036080113,0.886872901412062,2548.42761486259,13.0910373489429,2.19652225557051
reference,h1_0.16,CJM,tun47,HS-30,1904.41501969218,3.93423935716901,1.49237307485411,1175.35217521103,5.3996632276565e-07,0.82369124545267,1999.99998701854,11.016340109807,2.39326691583765
reference,h1_0.16,CJM,tun48,PR-30,1877.72825605893,10.4712614188724,1.45060361138065,1077.4073597957,6.43690088194379,0.911899997312053,2522.01657672696,16.9517101180254,2.13855851491575
robustness,h1_0.16_cycle,CJM,tun29,HS+20,1612.89052969801,7.31587147924047,1.04421437018315,957.10764446951,1.92774052542093,0.559016968150215,2031.85691409112,11.4968124735002,1.78610425045236
robustness,h1_0.16_cycle,CJM,tun32,PR+20,1564.01156242945,11.1362247967941,1.10839577971137,851.731258638967,7.65231082751738,0.667599114436841,2261.3948391771,14.4477158302215,1.68267859986274
robustness,h1_0.16_cycle,CJM,tun43,HS-20,1581.47373690225,7.18704340400241,1.01612959049799,891.829156526189,1.92506942326757,0.520413495102406,2033.06799308772,11.5829197264028,1.75626885386568
