year,iter,data,scenario,biol,code,metric
2043,151,19687.5500830687,om11_2,CJM,tun29,SB
2044,151,23247.6024423588,om11_2,CJM,tun29,SB
2045,151,27097.5091724347,om11_2,CJM,tun29,SB
2046,151,29541.8305331858,om11_2,CJM,tun29,SB
2047,151,32022.7767241835,om11_2,CJM,tun29,SB
2048,151,34665.6519769982,om11_2,CJM,tun29,SB
2049,151,36101.182738922,om11_2,CJM,tun29,SB
2050,151,36004.793052805,om11_2,CJM,tun29,SB
2025,158,7236.77187172129,om11_2,CJM,tun29,SB
2026,158,6449.16916629891,om11_2,CJM,tun29,SB
2027,158,6164.35119880869,om11_2,CJM,tun29,SB
2028,158,6103.55970174532,om11_2,CJM,tun29,SB
2029,158,5689.48825399031,om11_2,CJM,tun29,SB
2030,158,5051.11774458958,om11_2,CJM,tun29,SB
2031,158,4746.71628964192,om11_2,CJM,tun29,SB
2032,158,4733.22953931239,om11_2,CJM,tun29,SB
2033,158,4458.0907899261,om11_2,CJM,tun29,SB
2034,158,3954.71564397454,om11_2,CJM,tun29,SB
2035,158,3086.54150485004,om11_2,CJM,tun29,SB
2036,158,2652.49251077137,om11_2,CJM,tun29,SB
2037,158,2795.45165990389,om11_2,CJM,tun29,SB
2038,158,2987.64341240162,om11_2,CJM,tun29,SB
2039,158,2951.84950984594,om11_2,CJM,tun29,SB
2040,158,2864.75274980844,om11_2,CJM,tun29,SB
2041,158,3153.29562860555,om11_2,CJM,tun29,SB
2042,158,3409.37473724545,om11_2,CJM,tun29,SB
2043,158,3480.62293094142,om11_2,CJM,tun29,SB
2044,158,3979.47902610986,om11_2,CJM,tun29,SB
2045,158,4864.94801412304,om11_2,CJM,tun29,SB
2046,158,5782.89975497601,om11_2,CJM,tun29,SB
2047,158,7300.31402474189,om11_2,CJM,tun29,SB
2048,158,8883.93830708686,om11_2,CJM,tun29,SB
2049,158,11395.8297379493,om11_2,CJM,tun29,SB
2050,158,13632.583760559,om11_2,CJM,tun29,SB
2025,165,7753.47260672735,om11_2,CJM,tun29,SB
2026,165,7982.51806530926,om11_2,CJM,tun29,SB
2027,165,8068.85004124695,om11_2,CJM,tun29,SB
2028,165,8219.00804022269,om11_2,CJM,tun29,SB
2029,165,7938.69135563506,om11_2,CJM,tun29,SB
2030,165,7460.1030706489,om11_2,CJM,tun29,SB
2031,165,6991.15093784433,om11_2,CJM,tun29,SB
2032,165,6610.04358565126,om11_2,CJM,tun29,SB
2033,165,6640.1994664013,om11_2,CJM,tun29,SB
2034,165,6677.05007470273,om11_2,CJM,tun29,SB
2035,165,5582.08620948885,om11_2,CJM,tun29,SB
2036,165,5222.67169396976,om11_2,CJM,tun29,SB
2037,165,7452.4867161215,om11_2,CJM,tun29,SB
2038,165,10137.3272077109,om11_2,CJM,tun29,SB
2039,165,10901.7672969839,om11_2,CJM,tun29,SB
2040,165,11141.5368570772,om11_2,CJM,tun29,SB
2041,165,11189.8331609824,om11_2,CJM,tun29,SB
2042,165,10823.8207016569,om11_2,CJM,tun29,SB
2043,165,10736.9796504561,om11_2,CJM,tun29,SB
2044,165,10008.27627773,om11_2,CJM,tun29,SB
2045,165,9152.02779448864,om11_2,CJM,tun29,SB
2046,165,8465.80838072631,om11_2,CJM,tun29,SB
2047,165,7396.17708080815,om11_2,CJM,tun29,SB
2048,165,6324.79170581996,om11_2,CJM,tun29,SB
2049,165,4781.09112436707,om11_2,CJM,tun29,SB
2050,165,3368.24367253184,om11_2,CJM,tun29,SB
2025,177,8041.24231146839,om11_2,CJM,tun29,SB
2026,177,8262.17216958148,om11_2,CJM,tun29,SB
2027,177,8792.30044138879,om11_2,CJM,tun29,SB
2028,177,9438.12280927735,om11_2,CJM,tun29,SB
2029,177,9266.00746096968,om11_2,CJM,tun29,SB
2030,177,8568.28612813268,om11_2,CJM,tun29,SB
2031,177,8183.46278854566,om11_2,CJM,tun29,SB
2032,177,7841.56604510764,om11_2,CJM,tun29,SB
2033,177,7586.58901260392,om11_2,CJM,tun29,SB
2034,177,7266.124201747,om11_2,CJM,tun29,SB
2035,177,5825.13798615857,om11_2,CJM,tun29,SB
2036,177,4960.78773153063,om11_2,CJM,tun29,SB
2037,177,4600.8435008786,om11_2,CJM,tun29,SB
2038,177,4452.23160422023,om11_2,CJM,tun29,SB
2039,177,4798.46834514402,om11_2,CJM,tun29,SB
2040,177,4928.23638908781,om11_2,CJM,tun29,SB
2041,177,4724.55765641624,om11_2,CJM,tun29,SB
2042,177,4825.00495652052,om11_2,CJM,tun29,SB
2043,177,5456.35321859571,om11_2,CJM,tun29,SB
2044,177,5789.12980856962,om11_2,CJM,tun29,SB
2045,177,5944.999643183,om11_2,CJM,tun29,SB
2046,177,5944.5135251014,om11_2,CJM,tun29,SB
2047,177,5949.59009640861,om11_2,CJM,tun29,SB
2048,177,5859.10853132424,om11_2,CJM,tun29,SB
2049,177,5451.73460385573,om11_2,CJM,tun29,SB
2050,177,5332.19936470036,om11_2,CJM,tun29,SB
2025,186,7859.93258500356,om11_2,CJM,tun29,SB
2026,186,9802.02933032589,om11_2,CJM,tun29,SB
2027,186,12395.2101150519,om11_2,CJM,tun29,SB
2028,186,13598.9653569386,om11_2,CJM,tun29,SB
2029,186,13984.2875123134,om11_2,CJM,tun29,SB
2030,186,14428.4818804374,om11_2,CJM,tun29,SB
2031,186,14622.8749560769,om11_2,CJM,tun29,SB
2032,186,14358.5322654732,om11_2,CJM,tun29,SB
2033,186,13496.7017897923,om11_2,CJM,tun29,SB
2034,186,12383.1528116914,om11_2,CJM,tun29,SB
2035,186,10130.0582809453,om11_2,CJM,tun29,SB
2036,186,8689.42198386433,om11_2,CJM,tun29,SB
2037,186,8012.15313000312,om11_2,CJM,tun29,SB
2038,186,6871.69414442387,om11_2,CJM,tun29,SB
2039,186,6392.75919553283,om11_2,CJM,tun29,SB
2040,186,6494.87158636551,om11_2,CJM,tun29,SB
2041,186,6143.80471824413,om11_2,CJM,tun29,SB
2042,186,6203.64731071073,om11_2,CJM,tun29,SB
2043,186,6786.21642655489,om11_2,CJM,tun29,SB
2044,186,7078.23049938444,om11_2,CJM,tun29,SB
2045,186,6565.85783359349,om11_2,CJM,tun29,SB
2046,186,5248.32492255157,om11_2,CJM,tun29,SB
2047,186,4114.91579470105,om11_2,CJM,tun29,SB
2048,186,3549.04814159859,om11_2,CJM,tun29,SB
2049,186,3340.72806681596,om11_2,CJM,tun29,SB
2050,186,4006.54221323446,om11_2,CJM,tun29,SB
2025,246,8847.56725195435,om11_2,CJM,tun29,SB
2026,246,9429.69917631048,om11_2,CJM,tun29,SB
2027,246,9095.86076545459,om11_2,CJM,tun29,SB
2028,246,8944.20516456862,om11_2,CJM,tun29,SB
2029,246,8928.43219956401,om11_2,CJM,tun29,SB
2030,246,8175.09391009333,om11_2,CJM,tun29,SB
2031,246,6909.88454837677,om11_2,CJM,tun29,SB
2032,246,5498.19205118822,om11_2,CJM,tun29,SB
2033,246,4177.4219826237,om11_2,CJM,tun29,SB
2034,246,3211.07102255278,om11_2,CJM,tun29,SB
2035,246,1803.14681177652,om11_2,CJM,tun29,SB
2036,246,1083.51560765206,om11_2,CJM,tun29,SB
2037,246,892.555674015912,om11_2,CJM,tun29,SB
2038,246,802.99869293863,om11_2,CJM,tun29,SB
2039,246,622.444512879755,om11_2,CJM,tun29,SB
2040,246,338.694034278002,om11_2,CJM,tun29,SB
2041,246,32.4608186201643,om11_2,CJM,tun29,SB
2042,246,0,om11_2,CJM,tun29,SB
2043,246,0,om11_2,CJM,tun29,SB
2044,246,0,om11_2,CJM,tun29,SB
2045,246,0,om11_2,CJM,tun29,SB
2046,246,0,om11_2,CJM,tun29,SB
2047,246,0,om11_2,CJM,tun29,SB
2048,246,0,om11_2,CJM,tun29,SB
2049,246,0,om11_2,CJM,tun29,SB
2050,246,0,om11_2,CJM,tun29,SB
2025,327,6418.0774926786,om11_2,CJM,tun29,SB
2026,327,7068.30372575154,om11_2,CJM,tun29,SB
2027,327,6839.75241834237,om11_2,CJM,tun29,SB
2028,327,6870.7851590589,om11_2,CJM,tun29,SB
2029,327,7025.87864340989,om11_2,CJM,tun29,SB
2030,327,7165.80969596693,om11_2,CJM,tun29,SB
