set,om,biol,code,CMP,median_C,median_IACC,median_SBMSY,q25_C,q25_IACC,q25_SBMSY,q75_C,q75_IACC,q75_SBMSY
reference,Reference OM,CJM,tun29,HS+20,1894.66571853511,3.48211570840829,1.51678317188188,1196.53105219288,5.32021816046502e-07,0.842013146415439,1999.99998704163,10.4704931749695,2.4203319152517
reference,Reference OM,CJM,tun43,HS-20,1904.77982369591,3.49955563884474,1.47262518182246,1128.66533472531,5.29327675025115e-07,0.796718742536709,1999.99998667802,10.5446144293529,2.38786923147252
reference,Reference OM,CJM,tun45,HSsym,1902.54937963254,3.26995301199252,1.49020376631955,1157.68033863985,5.4142118122158e-07,0.819302662313497,1999.99998709588,10.0552403038314,2.41897037669466
robustness,Recruitment crash (om11_2),CJM,tun29,HS+20,1492.88207436979,8.87782336056823,1.12610664711449,984.424456255648,3.99035487887972,0.648861648294231,1956.7842070606,12.3915746842577,1.74639863979504
robustness,Recruitment crash (om11_2),CJM,tun43,HS-20,1429.42784096699,8.94732256588016,1.1063615279469,922.068740764279,3.3605465863512,0.620308979168843,1972.53532745105,12.4384351576997,1.7085040304337
robustness,Recruitment crash (om11_2),CJM,tun45,HSsym,1455.52104136795,8.71991510680601,1.12201056764393,958.375023466722,3.70013134297285,0.625449904672195,1972.22200156104,11.8726956370784,1.73294876957496
robustness,Two stocks (om21),North,tun29,HS+20,224.296816695535,11.6771259457673,0.396212812259372,190.225866427134,9.72922774683788,0.22565415548429,258.602006776373,14.2409459142206,0.516732208083754
robustness,Two stocks (om21),North,tun43,HS-20,220.540622617028,11.5558605697056,0.393694146801852,186.499621096175,9.68238470908778,0.213348419700804,256.140404562617,14.2724285228017,0.518196563514163
robustness,Two stocks (om21),North,tun45,HSsym,222.677861617346,11.6669099233713,0.392849474297838,189.271319048971,9.72291293693761,0.221462198289188,258.362763583581,14.246069761544,0.517357095117492
robustness,Two stocks (om21),Southern,tun29,HS+20,1040.94971680626,4.8746102985855,1.10149922865349,896.480637402051,4.06796222020537,1.00104914327564,1204.57216905244,5.83590921964719,1.21865666948054
robustness,Two stocks (om21),Southern,tun43,HS-20,1029.29291992736,4.86750475966119,1.01853748631003,887.096352739474,4.11484900423476,0.923772766564579,1195.25026961647,5.86968399175399,1.13121559725492
robustness,Two stocks (om21),Southern,tun45,HSsym,1037.77439755519,4.87486328550863,1.07324685267789,892.284470781621,4.07898182748737,0.976373952981622,1203.50146921059,5.83743426129403,1.18893490391357
