om,code,median_C,median_FMSY,median_IACC,median_SBMSY,q25_C,q25_FMSY,q25_IACC,q25_SBMSY,q75_C,q75_FMSY,q75_IACC,q75_SBMSY,scenario,panel
h1_0.16,tun29,1448.19235950494,0.982362149627211,9.94306697809908,1.25040632758549,1334.70791481803,0.817720811298976,8.62857798129473,0.995410216141885,1554.82250652509,1.17865083382859,11.0622412226231,1.69961404382668,om11,Reference (OM11)
h1_0.16,tun43,1495.29417034117,1.07677192259484,8.65432058929509,1.2306382884621,1368.29999060952,0.877466841731334,7.32296318940698,0.968820767378756,1584.98815829618,1.31201225208097,9.72909207681703,1.65624868081586,om11,Reference (OM11)
h1_0.16,tun45,1449.85349581234,0.988085480554127,9.27038476860265,1.26014772109304,1328.99427941265,0.817467472588173,7.96812658047827,0.996240843636468,1538.46893789418,1.18641915873802,10.2863422327856,1.69431192412236,om11,Reference (OM11)
h1_0.16_cycle,tun29,1442.26302286206,1.03700223967737,9.82368816561929,1.16667958219364,1293.69718310082,0.850127850781057,8.77975140396713,0.900155223725393,1578.78714064751,1.27942709920676,11.0636380189041,1.48470596710172,om11_3,Recruitment cycle (OM11_3)
h1_0.16_cycle,tun43,1482.66070670848,1.15378328302614,8.53012747218508,1.13732300404253,1334.07609613929,0.926161420827946,7.50378010263065,0.871476637827354,1612.37411090214,1.44047943426611,9.69597293874183,1.46176804517989,om11_3,Recruitment cycle (OM11_3)
h1_0.16_cycle,tun45,1442.79875439882,1.0571340636821,9.19899851640311,1.16606317477635,1299.76082217777,0.854574402158339,8.25508067032223,0.897614473008893,1565.85958813859,1.30701231196667,10.1667786031478,1.4921539721675,om11_3,Recruitment cycle (OM11_3)
h1_0.16_lowrec,tun29,1491.86147768125,0.975275911431975,9.94772196845284,1.25357330153481,1335.87545690474,0.816504991027766,8.73034906505504,0.977142723070809,1601.9742681611,1.19164521290941,11.0086586939506,1.6045670522134,om11_2,Recruitment crash (OM11_2)
h1_0.16_lowrec,tun43,1532.45694856267,1.07108937136442,8.42881292306754,1.22170547008826,1379.78083409715,0.88686673912021,7.36630890785895,0.931725305346058,1628.5192921829,1.33486603807753,9.54487841318981,1.57308226344005,om11_2,Recruitment crash (OM11_2)
h1_0.16_lowrec,tun45,1491.07631186327,0.984210090556117,9.07749460931823,1.25142478379442,1344.72172032443,0.817231538099583,8.15450263099664,0.965563879079484,1582.79159684186,1.21775507622005,10.1781613490182,1.61252942170825,om11_2,Recruitment crash (OM11_2)
