year,ssb_over_ssbmsy,f_over_fmsy
2007,0.537931027379222,3.49967066930674
2008,0.35978821414887,3.77313040193197
2009,0.271390998379997,4.03137666446983
2010,0.247710081530757,3.12640055775711
2011,0.225971950467847,2.44952639738164
2012,0.226544930120723,2.03340245576473
2013,0.240924413058899,1.61964483005374
2014,0.279149368564591,1.49539372620946
2015,0.325364841737982,1.15634737379632
2016,0.389861783379966,1.1003166558833
2017,0.493173751103229,1.2066255558445
2018,0.62335217835774,1.46988193482857
2019,0.742741160040514,1.21238361350192
2020,0.828710876532764,0.966670323912788
2021,0.906301889922055,0.826511785349038
2022,0.957385682507996,0.690244355989668
2023,0.924070635477419,0.877813904528892
2024,0.874628330300931,0.993873061251589
2025,0.880799157695977,1.10730584893747
2026,0.901584068337506,0.86525452451886
