"variable","is_parameter","mean","median","sd","q2.5","q25","q75","q97.5","mcse_mean","rhat","ess_bulk","ess_tail","nonfinite_draws","stuck_chains","rhat_above_1_01","bulk_ess_below_400","tail_ess_below_400","diagnostics_nonfinite","passes_parameter_checks","diagnostic_status"
"mean_log_rec[1]",TRUE,9.27857449803459,9.27683966539522,0.0949608922969464,9.09528551165815,9.21400015025608,9.34441257402523,9.45890487871449,0.00665147023487076,1.01949420916154,203.133682020928,364.443962843489,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,"Rhat > 1.01; bulk ESS < 400; tail ESS < 400"
"log_Rzero[1]",TRUE,9.39699664417485,9.38561245467732,0.207791916426777,9.01365736893964,9.25563911883834,9.53406481990504,9.8233539837652,0.00410094984058995,1.00201154937757,2580.0845538147,1972.10118546295,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,"passes screening"
"rec_dev[1]",TRUE,-0.117422856558491,-0.117625852727186,0.579056112759768,-1.28338285871692,-0.498394805086357,0.275221510892017,1.01623683889741,0.00893803798095835,1.00430812153507,4212.97254254092,1960.21098131787,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,"passes screening"
"rec_dev[2]",TRUE,-0.116601731161717,-0.110069282730249,0.552084396664164,-1.21833573929066,-0.492136578348468,0.268222251106762,0.921529437655134,0.00924486801536366,1.00168768472194,3564.17636413213,2319.89651670396,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,"passes screening"
"rec_dev[3]",TRUE,-0.151904795611924,-0.152666634143853,0.56424912088207,-1.22151319233134,-0.530552406179568,0.230590594360438,0.969230303556803,0.0102480477227368,0.999708429405398,3039.79256144892,1941.66401254463,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,"passes screening"
"rec_dev[4]",TRUE,-0.177469972405655,-0.178512843415996,0.55126681877283,-1.27207384598151,-0.55403911217381,0.195720351123619,0.861145414265316,0.010518870693878,1.00063583934072,2730.00838296966,2117.81996792631,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,"passes screening"
"rec_dev[5]",TRUE,-0.248355003068785,-0.236814496815139,0.538223703010694,-1.3315991617338,-0.605610439206083,0.112314082883231,0.778577265357551,0.0108200544013201,1.0010000894217,2430.5955421669,2071.04734873308,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,"passes screening"
"rec_dev[6]",TRUE,-0.30557468249372,-0.29691269058331,0.54363785382873,-1.35849558433948,-0.679259564710349,0.076577093692078,0.730293601415378,0.0101567997847972,1.00324556346071,2809.56561180903,1980.67111116173,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,"passes screening"
"rec_dev[7]",TRUE,-0.351633492222603,-0.343091108568386,0.52513935774162,-1.42398703362105,-0.699523651169833,0.0123230129883836,0.635579592602885,0.0106399185422655,1.00258326797066,2403.15488712044,2135.41545577897,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,"passes screening"
"rec_dev[8]",TRUE,-0.398037150350185,-0.38585958317341,0.513360338159718,-1.42086312617902,-0.749543557165948,-0.0336719298705423,0.54872849377643,0.0122225994119407,1.00283724741188,1737.84567936728,1849.63601967417,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,"passes screening"
