iter,year,stock,harvest
1,2007,0.679611217059112,3.7547541921054
1,2008,0.438212790031806,4.20952860282564
1,2009,0.336751627538508,4.3564079393358
1,2010,0.323310052731395,3.10274633376133
1,2011,0.295442729840986,2.73763901756735
1,2012,0.288216665848213,2.06139360669206
1,2013,0.297003202520133,1.83221782655944
1,2014,0.337563316838454,1.82730021718052
1,2015,0.398602352194422,1.32876072406094
1,2016,0.489081358459446,1.33924701112042
1,2017,0.634505642661091,1.32879471700974
1,2018,0.83360694026819,1.41293219943534
1,2019,0.979290965045818,1.23497345060375
1,2020,1.09275295383882,1.10687647744439
1,2021,1.2180432849553,0.966618437230052
1,2022,1.30535061528078,0.717631085358264
1,2023,1.28167769684785,0.979465827761829
1,2024,1.25771054104368,0.965963621291925
1,2025,1.3398798781005,1.02762542264302
1,2026,1.35677924932538,0.953804938149747
2,2007,0.418519671319653,3.57477184218581
2,2008,0.289260935935651,3.57450058794503
2,2009,0.223667135899734,3.88625127786254
2,2010,0.200085609575917,2.94274201523351
2,2011,0.178972939865981,2.17557264208725
2,2012,0.173343044920902,1.85737143574985
2,2013,0.185329963813777,1.45996286190672
2,2014,0.214606770326328,1.40242460823789
2,2015,0.24809867039107,1.15752155293408
2,2016,0.291521236168907,1.04033260466043
2,2017,0.372303577373234,1.08770705529996
2,2018,0.48568158987151,1.4519412807627
2,2019,0.578985205235825,1.15123672198441
2,2020,0.634036198398219,0.991106875159921
2,2021,0.694378886969544,0.826293444657481
2,2022,0.731273074367936,0.673682534472804
2,2023,0.696642569198161,0.868239301862509
2,2024,0.65487718114745,1.02512501982637
2,2025,0.693577354068873,1.18690760037147
2,2026,0.719223024894981,0.971807512699492
3,2007,0.579090680250763,3.68437806180837
3,2008,0.401367417685449,3.81864958174621
3,2009,0.312926994822223,3.8903115972554
3,2010,0.281946072977987,3.32922839628711
3,2011,0.256288224664063,2.7863159396066
3,2012,0.258500194423134,2.10713980649014
3,2013,0.28610811260761,1.53096337264955
3,2014,0.340910247241836,1.41669300260021
3,2015,0.40608662013523,1.1689482531826
3,2016,0.470825937163711,1.0160748698242
3,2017,0.569747360024102,1.17233523604982
3,2018,0.739191583438385,1.44771062647498
3,2019,0.881496639424074,1.2220709407601
3,2020,0.953715950720784,0.942525040816549
3,2021,1.0663962925652,0.799805621642537
3,2022,1.16426010695858,0.672800763991284
3,2023,1.14532491183399,0.80247042722374
