"year","n_indices","combined_index"
2019,5,0.857088621500937
2020,5,0.8987574864912
2021,5,0.970249563354449
2022,4,1.11859712328244
2023,5,1.17902663002746
2024,5,1.00405303515092
2025,5,1.08642245435243
2026,4,0.76948765338959
