scenario,panel,code,sb,f,iterations
om11,Reference (OM11),tun43,1.33513275273373,1.07677192259484,500
om11,Reference (OM11),tun44,1.566718707235,0.598657209407674,500
om11,Reference (OM11),tun47,1.34558713263552,1.0628804454139,500
om11_2,Recruitment crash (OM11_2),tun43,1.32463553678985,1.07108937136442,500
om11_2,Recruitment crash (OM11_2),tun44,1.54891121056781,0.601339031534713,500
om11_2,Recruitment crash (OM11_2),tun47,1.33491190147758,1.05033752242863,500
om11_3,Recruitment cycle (OM11_3),tun43,1.31644895024639,1.15378328302614,500
om11_3,Recruitment cycle (OM11_3),tun44,1.54509566972639,0.632193425508506,500
om11_3,Recruitment cycle (OM11_3),tun47,1.32420025406549,1.12164754639584,500
