year,iter,data,metric
2043,158,7395.93472197187,SSB (thousand t)
2044,158,7398.31989945242,SSB (thousand t)
2045,158,7441.34018039719,SSB (thousand t)
2046,158,7437.11390906764,SSB (thousand t)
2047,158,7519.79519236238,SSB (thousand t)
2048,158,7336.98684538775,SSB (thousand t)
2049,158,7218.34191678298,SSB (thousand t)
2050,158,6829.74361276266,SSB (thousand t)
2025,165,7753.47260672735,SSB (thousand t)
2026,165,7433.7678224042,SSB (thousand t)
2027,165,6919.62200872932,SSB (thousand t)
2028,165,6753.79143669629,SSB (thousand t)
2029,165,6831.91395681345,SSB (thousand t)
2030,165,6922.96457977913,SSB (thousand t)
2031,165,6804.15655440455,SSB (thousand t)
2032,165,7546.25136878521,SSB (thousand t)
2033,165,8676.42250415415,SSB (thousand t)
2034,165,10350.7208247402,SSB (thousand t)
2035,165,10740.344175857,SSB (thousand t)
2036,165,10532.8600365467,SSB (thousand t)
2037,165,10195.632265391,SSB (thousand t)
2038,165,9351.35200631087,SSB (thousand t)
2039,165,8282.65993741261,SSB (thousand t)
2040,165,7513.82429087855,SSB (thousand t)
2041,165,6888.91389058003,SSB (thousand t)
2042,165,6471.98610929975,SSB (thousand t)
2043,165,6551.3299017684,SSB (thousand t)
2044,165,6772.07420117111,SSB (thousand t)
2045,165,6994.93040550345,SSB (thousand t)
2046,165,7388.9402144946,SSB (thousand t)
2047,165,8574.09297728453,SSB (thousand t)
2048,165,11294.5237328532,SSB (thousand t)
2049,165,15865.6397755927,SSB (thousand t)
2050,165,19415.0235387953,SSB (thousand t)
2025,177,8041.24231146839,SSB (thousand t)
2026,177,8228.25575777375,SSB (thousand t)
2027,177,9283.82784224287,SSB (thousand t)
2028,177,10637.1948114867,SSB (thousand t)
2029,177,11682.4972446341,SSB (thousand t)
2030,177,13057.6708229735,SSB (thousand t)
2031,177,14219.2540688138,SSB (thousand t)
2032,177,15325.8510554047,SSB (thousand t)
2033,177,16661.6853750063,SSB (thousand t)
2034,177,17981.9098402163,SSB (thousand t)
2035,177,18736.7765994872,SSB (thousand t)
2036,177,19670.6717668747,SSB (thousand t)
2037,177,19861.5596116746,SSB (thousand t)
2038,177,19372.7275313934,SSB (thousand t)
2039,177,18460.8351056947,SSB (thousand t)
2040,177,17038.5667640536,SSB (thousand t)
2041,177,15895.61837893,SSB (thousand t)
2042,177,14867.6518982963,SSB (thousand t)
2043,177,14409.0844377791,SSB (thousand t)
2044,177,13605.6894924741,SSB (thousand t)
2045,177,12885.263633205,SSB (thousand t)
2046,177,13285.9996141092,SSB (thousand t)
2047,177,14894.8171510514,SSB (thousand t)
2048,177,15800.6869338514,SSB (thousand t)
