set,om,biol,code,CMP,median_C,median_IACC,median_SBMSY,q25_C,q25_IACC,q25_SBMSY,q75_C,q75_IACC,q75_SBMSY
reference,Reference OM,CJM,tun43,HS-20,1904.77982369591,3.49955563884474,1.47262518182246,1128.66533472531,5.29327675025115e-07,0.796718742536709,1999.99998667802,10.5446144293529,2.38786923147252
reference,Reference OM,CJM,tun44,PR-20,1963.72768570653,10.1863220301742,1.47147369503474,1106.27606341277,6.53821555915791,0.890999441973111,2591.57504536478,14.3171291605495,2.19292848139813
reference,Reference OM,CJM,tun47,HS-30,1904.41501969218,3.93423935716901,1.49237307485411,1175.35217521103,5.3996632276565e-07,0.82369124545267,1999.99998701854,11.016340109807,2.39326691583765
robustness,Recruitment crash (om11_2),CJM,tun43,HS-20,1429.42784096699,8.94732256588016,1.1063615279469,922.068740764279,3.3605465863512,0.620308979168843,1972.53532745105,12.4384351576997,1.7085040304337
robustness,Recruitment crash (om11_2),CJM,tun44,PR-20,1417.98426503494,12.5949359662136,1.2447817849895,848.744347232768,8.27029601160272,0.803313160914088,2038.31775203685,15.6556029724693,1.75645739260568
robustness,Recruitment crash (om11_2),CJM,tun47,HS-30,1458.32591051179,9.33575317894182,1.13660986908918,973.402113093763,4.00203106279399,0.685143995889636,1961.05061633949,13.1241822938296,1.71218622066465
robustness,Two stocks (om21),North,tun43,HS-20,220.540622617028,11.5558605697056,0.393694146801852,186.499621096175,9.68238470908778,0.213348419700804,256.140404562617,14.2724285228017,0.518196563514163
robustness,Two stocks (om21),North,tun44,PR-20,214.187993845283,14.322090886483,0.39190813756885,174.256925060582,11.8619472798318,0.225281573333104,259.739581307275,16.9612334086201,0.531675389510209
robustness,Two stocks (om21),North,tun47,HS-30,221.712523282494,11.644533558533,0.393775691858402,188.888534365905,9.74879240094558,0.216848342479527,256.735166691745,14.1995172220115,0.518340518318457
robustness,Two stocks (om21),Southern,tun43,HS-20,1029.29291992736,4.86750475966119,1.01853748631003,887.096352739474,4.11484900423476,0.923772766564579,1195.25026961647,5.86968399175399,1.13121559725492
robustness,Two stocks (om21),Southern,tun44,PR-20,1000.00239006079,9.48983740551957,1.31121024575334,828.350440892987,6.16426104726256,1.22931921044992,1236.46463877931,11.9207181135048,1.39648032377482
robustness,Two stocks (om21),Southern,tun47,HS-30,1034.27354180647,4.90298886210743,1.04539507657613,890.031409086736,4.10679688535576,0.951089889277301,1199.83616616009,5.8690111233187,1.16037296037243
