scenario,biol,code,green,below8,iterations,years
om11_2,CJM,tun43,0.428,0.0962,500,10
om11_2,CJM,tun47,0.4436,0.0604,500,10
om11_2,CJM,tun44,0.5452,0.0502,500,10
om21,Southern,tun43,0.4366,0,500,10
om21,North,tun43,0,0.1548,500,10
om21,Southern,tun47,0.5008,0,500,10
om21,North,tun47,0,0.1516,500,10
om21,Southern,tun44,0.9044,0,500,10
om21,North,tun44,0,0.1372,500,10
