set,om,biol,code,statistic,median,q25,q75,CMP
reference,h1_0.16,CJM,tun29,SBMSY,1.51678317188188,0.842013146415439,2.4203319152517,HS+20
reference,h1_0.16,CJM,tun29,C,1894.66571853511,1196.53105219288,1999.99998704163,HS+20
reference,h1_0.16,CJM,tun29,IACC,3.48211570840829,5.32021816046502e-07,10.4704931749695,HS+20
reference,h1_0.16,CJM,tun43,SBMSY,1.47262518182246,0.796718742536709,2.38786923147252,HS-20
reference,h1_0.16,CJM,tun43,C,1904.77982369591,1128.66533472531,1999.99998667802,HS-20
reference,h1_0.16,CJM,tun43,IACC,3.49955563884474,5.29327675025115e-07,10.5446144293529,HS-20
reference,h1_0.16,CJM,tun45,SBMSY,1.49020376631955,0.819302662313497,2.41897037669466,HSsym
reference,h1_0.16,CJM,tun45,C,1902.54937963254,1157.68033863985,1999.99998709588,HSsym
reference,h1_0.16,CJM,tun45,IACC,3.26995301199252,5.4142118122158e-07,10.0552403038314,HSsym
reference,h1_0.16,CJM,tun47,SBMSY,1.49237307485411,0.82369124545267,2.39326691583765,HS-30
reference,h1_0.16,CJM,tun47,C,1904.41501969218,1175.35217521103,1999.99998701854,HS-30
reference,h1_0.16,CJM,tun47,IACC,3.93423935716901,5.3996632276565e-07,11.016340109807,HS-30
reference,h1_0.16,CJM,tun32,SBMSY,1.45313761182676,0.86433173801275,2.16276519577236,PR+20
reference,h1_0.16,CJM,tun32,C,1898.80508827676,1151.60510718222,2496.58719184298,PR+20
reference,h1_0.16,CJM,tun32,IACC,9.68833918307611,6.48285263796435,14.0424754406706,PR+20
reference,h1_0.16,CJM,tun44,SBMSY,1.47147369503474,0.890999441973111,2.19292848139813,PR-20
reference,h1_0.16,CJM,tun44,C,1963.72768570653,1106.27606341277,2591.57504536478,PR-20
reference,h1_0.16,CJM,tun44,IACC,10.1863220301742,6.53821555915791,14.3171291605495,PR-20
reference,h1_0.16,CJM,tun46,SBMSY,1.4629970092257,0.886872901412062,2.19652225557051,PRsym
reference,h1_0.16,CJM,tun46,C,1940.82546125544,1128.49961607294,2548.42761486259,PRsym
reference,h1_0.16,CJM,tun46,IACC,9.66955451790976,6.50711036080113,13.0910373489429,PRsym
reference,h1_0.16,CJM,tun48,SBMSY,1.45060361138065,0.911899997312053,2.13855851491575,PR-30
reference,h1_0.16,CJM,tun48,C,1877.72825605893,1077.4073597957,2522.01657672696,PR-30
reference,h1_0.16,CJM,tun48,IACC,10.4712614188724,6.43690088194379,16.9517101180254,PR-30
robustness,h1_0.16_selex,CJM,tun29,SBMSY,1.10885303105028,0.268580756774383,2.10000924236868,HS+20
robustness,h1_0.16_selex,CJM,tun29,C,1941.08832594168,807.874085689009,2038.21163860465,HS+20
robustness,h1_0.16_selex,CJM,tun29,IACC,2.57211764060184,1.42833592598645,10.0628813474731,HS+20
robustness,h1_0.16_selex,CJM,tun43,SBMSY,1.0753766797731,0.215200420971214,2.0699342734052,HS-20
robustness,h1_0.16_selex,CJM,tun43,C,1948.45941583619,693.253407214447,2039.01868313064,HS-20
robustness,h1_0.16_selex,CJM,tun43,IACC,2.30018099731053,1.40620890952489,10.0679112205341,HS-20
robustness,h1_0.16_selex,CJM,tun45,SBMSY,1.12387241641953,0.215759122074787,2.10596009771808,HSsym
robustness,h1_0.16_selex,CJM,tun45,C,1952.30341243969,786.538109293402,2038.7627233031,HSsym
robustness,h1_0.16_selex,CJM,tun45,IACC,2.32939075501328,1.41124395944801,10.0397196687953,HSsym
robustness,h1_0.16_selex,CJM,tun47,SBMSY,1.09521883137653,0.297364494627902,2.06616213504951,HS-30
robustness,h1_0.16_selex,CJM,tun47,C,1951.27383336785,775.829347223584,2038.79084387688,HS-30
robustness,h1_0.16_selex,CJM,tun47,IACC,2.47854010341855,1.42099520015985,10.7893811506852,HS-30
robustness,h1_0.16_selex,CJM,tun32,SBMSY,1.0038101617718,0.345953566365618,1.69318492175603,PR+20
robustness,h1_0.16_selex,CJM,tun32,C,1878.86197029691,956.230720728033,2520.77631214219,PR+20
robustness,h1_0.16_selex,CJM,tun32,IACC,10.0505541927049,6.15924120444899,15.0169084052296,PR+20
robustness,h1_0.16_selex,CJM,tun44,SBMSY,1.06125404866982,0.456035033975016,1.73335703752359,PR-20
robustness,h1_0.16_selex,CJM,tun44,C,1990.40762758949,945.405052822817,2700.92299234586,PR-20
robustness,h1_0.16_selex,CJM,tun44,IACC,10.4370136558304,6.42838586356505,15.3980352534687,PR-20
robustness,h1_0.16_selex,CJM,tun46,SBMSY,1.03708639295635,0.407617418090658,1.73903665597452,PRsym
robustness,h1_0.16_selex,CJM,tun46,C,1947.43519974576,955.099140704169,2639.72128403457,PRsym
robustness,h1_0.16_selex,CJM,tun46,IACC,10.1076722069609,6.25344282521597,14.0716112055879,PRsym
robustness,h1_0.16_selex,CJM,tun48,SBMSY,0.997312491385502,0.450270147985478,1.66328532211677,PR-30
robustness,h1_0.16_selex,CJM,tun48,C,1875.42633871927,849.708999320739,2575.36038636147,PR-30
robustness,h1_0.16_selex,CJM,tun48,IACC,10.639004979684,6.31919646138536,17.3808701148405,PR-30
robustness,h1_0.16_lowrec,CJM,tun29,SBMSY,1.12610664711449,0.648861648294231,1.74639863979504,HS+20
robustness,h1_0.16_lowrec,CJM,tun29,C,1492.88207436979,984.424456255648,1956.7842070606,HS+20
robustness,h1_0.16_lowrec,CJM,tun29,IACC,8.87782336056823,3.99035487887972,12.3915746842577,HS+20
robustness,h1_0.16_lowrec,CJM,tun43,SBMSY,1.1063615279469,0.620308979168843,1.7085040304337,HS-20
robustness,h1_0.16_lowrec,CJM,tun43,C,1429.42784096699,922.068740764279,1972.53532745105,HS-20
robustness,h1_0.16_lowrec,CJM,tun43,IACC,8.94732256588016,3.3605465863512,12.4384351576997,HS-20
robustness,h1_0.16_lowrec,CJM,tun45,SBMSY,1.12201056764393,0.625449904672195,1.73294876957496,HSsym
robustness,h1_0.16_lowrec,CJM,tun45,C,1455.52104136795,958.375023466722,1972.22200156104,HSsym
robustness,h1_0.16_lowrec,CJM,tun45,IACC,8.71991510680601,3.70013134297285,11.8726956370784,HSsym
robustness,h1_0.16_lowrec,CJM,tun47,SBMSY,1.13660986908918,0.685143995889636,1.71218622066465,HS-30
robustness,h1_0.16_lowrec,CJM,tun47,C,1458.32591051179,973.402113093763,1961.05061633949,HS-30
robustness,h1_0.16_lowrec,CJM,tun47,IACC,9.33575317894182,4.00203106279399,13.1241822938296,HS-30
robustness,h1_0.16_lowrec,CJM,tun32,SBMSY,1.20066469306168,0.762215315657176,1.7388530129048,PR+20
robustness,h1_0.16_lowrec,CJM,tun32,C,1414.58748097687,880.685853822221,1969.13440431434,PR+20
robustness,h1_0.16_lowrec,CJM,tun32,IACC,12.3925387184373,8.37843502158276,15.1594537967011,PR+20
robustness,h1_0.16_lowrec,CJM,tun44,SBMSY,1.2447817849895,0.803313160914088,1.75645739260568,PR-20
robustness,h1_0.16_lowrec,CJM,tun44,C,1417.98426503494,848.744347232768,2038.31775203685,PR-20
robustness,h1_0.16_lowrec,CJM,tun44,IACC,12.5949359662136,8.27029601160272,15.6556029724693,PR-20
robustness,h1_0.16_lowrec,CJM,tun46,SBMSY,1.18958865999037,0.777577594437481,1.76153382090761,PRsym
robustness,h1_0.16_lowrec,CJM,tun46,C,1459.31244685957,884.270470272584,2007.41664247168,PRsym
robustness,h1_0.16_lowrec,CJM,tun46,IACC,11.5792552161862,8.12349924150857,14.0832745017987,PRsym
robustness,h1_0.16_lowrec,CJM,tun48,SBMSY,1.26636211493382,0.842760492875719,1.76727042579992,PR-30
robustness,h1_0.16_lowrec,CJM,tun48,C,1306.61567806087,797.777245767682,1966.88465358702,PR-30
robustness,h1_0.16_lowrec,CJM,tun48,IACC,14.3754660326408,8.75646571838704,18.4473223009525,PR-30
robustness,h1_0.16_cycle,CJM,tun29,SBMSY,1.04421437018315,0.559016968150215,1.78610425045236,HS+20
robustness,h1_0.16_cycle,CJM,tun29,C,1612.89052969801,957.10764446951,2031.85691409112,HS+20
robustness,h1_0.16_cycle,CJM,tun29,IACC,7.31587147924047,1.92774052542093,11.4968124735002,HS+20
robustness,h1_0.16_cycle,CJM,tun43,SBMSY,1.01612959049799,0.520413495102406,1.75626885386568,HS-20
robustness,h1_0.16_cycle,CJM,tun43,C,1581.47373690225,891.829156526189,2033.06799308772,HS-20
robustness,h1_0.16_cycle,CJM,tun43,IACC,7.18704340400241,1.92506942326757,11.5829197264028,HS-20
robustness,h1_0.16_cycle,CJM,tun45,SBMSY,1.04576783287073,0.544191188835443,1.79265378600688,HSsym
robustness,h1_0.16_cycle,CJM,tun45,C,1600.22884173205,939.794410406767,2032.43160356663,HSsym
robustness,h1_0.16_cycle,CJM,tun45,IACC,7.04966497350257,1.93200706071437,11.0429327338675,HSsym
robustness,h1_0.16_cycle,CJM,tun47,SBMSY,1.02407464847882,0.548974567727268,1.76251305598146,HS-30
robustness,h1_0.16_cycle,CJM,tun47,C,1602.59041163484,953.631510663095,2032.75528101319,HS-30
robustness,h1_0.16_cycle,CJM,tun47,IACC,7.66238222507597,1.95737431523729,12.3386735615099,HS-30
robustness,h1_0.16_cycle,CJM,tun32,SBMSY,1.10839577971137,0.667599114436841,1.68267859986274,PR+20
robustness,h1_0.16_cycle,CJM,tun32,C,1564.01156242945,851.731258638967,2261.3948391771,PR+20
robustness,h1_0.16_cycle,CJM,tun32,IACC,11.1362247967941,7.65231082751738,14.4477158302215,PR+20
robustness,h1_0.16_cycle,CJM,tun44,SBMSY,1.11104219521513,0.687697109411567,1.7191796565569,PR-20
robustness,h1_0.16_cycle,CJM,tun44,C,1591.22953121541,846.075485053677,2343.5044685005,PR-20
robustness,h1_0.16_cycle,CJM,tun44,IACC,11.480268733505,7.7633644796767,14.9639533952343,PR-20
robustness,h1_0.16_cycle,CJM,tun46,SBMSY,1.11230163447363,0.668941089204282,1.70858155621312,PRsym
robustness,h1_0.16_cycle,CJM,tun46,C,1630.11662036093,877.609623179411,2309.00637895896,PRsym
robustness,h1_0.16_cycle,CJM,tun46,IACC,10.9240217618978,7.6297040073331,13.5874166574692,PRsym
robustness,h1_0.16_cycle,CJM,tun48,SBMSY,1.12379483011214,0.723151481384065,1.66738721658962,PR-30
robustness,h1_0.16_cycle,CJM,tun48,C,1504.5997354411,833.609334593108,2258.43787013729,PR-30
robustness,h1_0.16_cycle,CJM,tun48,IACC,12.5024882088401,7.86489138907604,17.0348497406919,PR-30
robustness,h1_0.16h,CJM,tun29,SBMSY,1.64344788106466,1.01128944179935,2.51352880970255,HS+20
robustness,h1_0.16h,CJM,tun29,C,1476.42081663142,1019.49917263125,1935.14309753236,HS+20
robustness,h1_0.16h,CJM,tun29,IACC,8.99327494641798,4.30717179775789,12.369191560487,HS+20
robustness,h1_0.16h,CJM,tun43,SBMSY,1.63341008067617,1.00654396949895,2.49600773091512,HS-20
robustness,h1_0.16h,CJM,tun43,C,1459.71679210392,989.558630075967,1953.47088580243,HS-20
robustness,h1_0.16h,CJM,tun43,IACC,9.2830699533232,4.28023603085836,12.8539206542004,HS-20
robustness,h1_0.16h,CJM,tun45,SBMSY,1.64161204147551,1.0024316215034,2.50919503397354,HSsym
robustness,h1_0.16h,CJM,tun45,C,1460.30603709483,988.074009166246,1945.7627223934,HSsym
robustness,h1_0.16h,CJM,tun45,IACC,8.93970891963978,4.18531702122147,12.1015441699091,HSsym
robustness,h1_0.16h,CJM,tun47,SBMSY,1.63667072918043,1.06760755974573,2.49903329170751,HS-30
robustness,h1_0.16h,CJM,tun47,C,1474.44135441703,1011.66475272224,1948.16576196753,HS-30
robustness,h1_0.16h,CJM,tun47,IACC,9.71989342312488,4.44221574621053,13.4737800342866,HS-30
robustness,h1_0.16h,CJM,tun32,SBMSY,1.74017842238399,1.15466611761298,2.43910941842498,PR+20
robustness,h1_0.16h,CJM,tun32,C,1369.38665153359,869.425282476375,1908.3131416743,PR+20
robustness,h1_0.16h,CJM,tun32,IACC,12.3003531269359,8.27125435497743,15.0982010548048,PR+20
robustness,h1_0.16h,CJM,tun44,SBMSY,1.75806922933796,1.20755237838824,2.4963116384757,PR-20
robustness,h1_0.16h,CJM,tun44,C,1339.6547757342,805.423224164359,1948.50060399168,PR-20
robustness,h1_0.16h,CJM,tun44,IACC,12.9605492594494,8.40893907731857,15.4238093334719,PR-20
robustness,h1_0.16h,CJM,tun46,SBMSY,1.75694626933029,1.14830228875541,2.49189286660306,PRsym
robustness,h1_0.16h,CJM,tun46,C,1409.22346959452,851.036371804949,1937.75760359019,PRsym
robustness,h1_0.16h,CJM,tun46,IACC,11.9359712353763,8.20934091803676,14.0004121258435,PRsym
robustness,h1_0.16h,CJM,tun48,SBMSY,1.77043919716343,1.23135311983405,2.51177719427186,PR-30
robustness,h1_0.16h,CJM,tun48,C,1283.06014835677,783.360264411361,1889.01005253183,PR-30
robustness,h1_0.16h,CJM,tun48,IACC,14.689199694504,8.87620805928148,18.3717081155358,PR-30
robustness,h1_1.14,CJM,tun29,SBMSY,2.11636471830838,1.38844836765509,3.224936921839,HS+20
robustness,h1_1.14,CJM,tun29,C,1837.79197520951,1344.20646206517,2032.46292024945,HS+20
robustness,h1_1.14,CJM,tun29,IACC,5.99163816570774,1.93662619570228,9.63625052489148,HS+20
robustness,h1_1.14,CJM,tun43,SBMSY,2.10386121081279,1.36041224157295,3.21726358227715,HS-20
robustness,h1_1.14,CJM,tun43,C,1863.17751391185,1355.86310637259,2034.90087482145,HS-20
robustness,h1_1.14,CJM,tun43,IACC,5.56350433876303,1.88415809826276,9.62407819059727,HS-20
robustness,h1_1.14,CJM,tun45,SBMSY,2.11865183099313,1.37828953639907,3.23316941392724,HSsym
robustness,h1_1.14,CJM,tun45,C,1853.75271768558,1333.45928958443,2033.07480804457,HSsym
