mp,statistic,metric,raw_value,preferred_direction,include,weight,years,summary,om_code,om_label,component,n_iter
HSsym (MP45),VB2025,VB / VB[2025],4.8137255090581,higher is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
HS-30 (MP47),VB2025,VB / VB[2025],4.68641110295119,higher is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
PR+20 (MP32),VB2025,VB / VB[2025],4.76976770780754,higher is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
PR-20 (MP44),VB2025,VB / VB[2025],4.88840245746072,higher is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
PRsym (MP46),VB2025,VB / VB[2025],4.95395182332869,higher is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
PR-30 (MP48),VB2025,VB / VB[2025],4.69162238748271,higher is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
HS+20 (MP29),VBMSY,VB / VB[MSY],0.802133759196333,higher is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
HS-20 (MP43),VBMSY,VB / VB[MSY],0.75965763874634,higher is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
HSsym (MP45),VBMSY,VB / VB[MSY],0.793304632742685,higher is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
HS-30 (MP47),VBMSY,VB / VB[MSY],0.776272354491232,higher is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
PR+20 (MP32),VBMSY,VB / VB[MSY],0.785442851395198,higher is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
PR-20 (MP44),VBMSY,VB / VB[MSY],0.815213380535892,higher is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
PRsym (MP46),VBMSY,VB / VB[MSY],0.800348962847574,higher is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
PR-30 (MP48),VBMSY,VB / VB[MSY],0.787373105831448,higher is better,FALSE,1,2041-2050,Median across iteration-specific 2041-2050 means,om11,Reference (om11),CJM,500
HS+20 (MP29),SB0red,P(Kobe red),0.2818,lower is better,FALSE,1,2041-2050,Proportion across all 2041-2050 iteration-years,om11,Reference (om11),CJM,500
PR+20 (MP32),SB0red,P(Kobe red),0.272,lower is better,FALSE,1,2041-2050,Proportion across all 2041-2050 iteration-years,om11,Reference (om11),CJM,500
HS-20 (MP43),SB0red,P(Kobe red),0.2998,lower is better,FALSE,1,2041-2050,Proportion across all 2041-2050 iteration-years,om11,Reference (om11),CJM,500
PR-20 (MP44),SB0red,P(Kobe red),0.2592,lower is better,FALSE,1,2041-2050,Proportion across all 2041-2050 iteration-years,om11,Reference (om11),CJM,500
HSsym (MP45),SB0red,P(Kobe red),0.2874,lower is better,FALSE,1,2041-2050,Proportion across all 2041-2050 iteration-years,om11,Reference (om11),CJM,500
PRsym (MP46),SB0red,P(Kobe red),0.275,lower is better,FALSE,1,2041-2050,Proportion across all 2041-2050 iteration-years,om11,Reference (om11),CJM,500
HS-30 (MP47),SB0red,P(Kobe red),0.285,lower is better,FALSE,1,2041-2050,Proportion across all 2041-2050 iteration-years,om11,Reference (om11),CJM,500
PR-30 (MP48),SB0red,P(Kobe red),0.238,lower is better,FALSE,1,2041-2050,Proportion across all 2041-2050 iteration-years,om11,Reference (om11),CJM,500
HS+20 (MP29),PC270,P(catch < 270 kt),0.0412,lower is better,TRUE,1,2041-2050,Proportion of 2041-2050 iteration-years with catch below 270 kt,om11,Reference (om11),CJM,500
HS-20 (MP43),PC270,P(catch < 270 kt),0.0468,lower is better,TRUE,1,2041-2050,Proportion of 2041-2050 iteration-years with catch below 270 kt,om11,Reference (om11),CJM,500
HSsym (MP45),PC270,P(catch < 270 kt),0.0522,lower is better,TRUE,1,2041-2050,Proportion of 2041-2050 iteration-years with catch below 270 kt,om11,Reference (om11),CJM,500
HS-30 (MP47),PC270,P(catch < 270 kt),0.0348,lower is better,TRUE,1,2041-2050,Proportion of 2041-2050 iteration-years with catch below 270 kt,om11,Reference (om11),CJM,500
PR+20 (MP32),PC270,P(catch < 270 kt),0.0434,lower is better,TRUE,1,2041-2050,Proportion of 2041-2050 iteration-years with catch below 270 kt,om11,Reference (om11),CJM,500
