Hypothesis,Stock,Scenario_ID,Scenario,Year,SSB_kt,SSB_SE_kt,BMSY_kt,Probability_above_percent,Catch_kt
h1,1,1,1 × F2026,2033,6537.53,2163.73,6869.029053999999,43.911743283097756,1139.12
h1,1,1,1 × F2026,2034,6536.43,2247.94,6869.029053999999,44.11882473229717,1122.12
h1,1,1,1 × F2026,2035,6584.9,2313.91,6869.029053999999,45.113600440922355,1084.4
h1,1,1,1 × F2026,2036,6603.33,2354.76,6869.029053999999,45.508073368982565,1112.03
h1,1,3,1.25 × F2026,2027,5940.57,1064.65,6869.029053999999,19.158260320838355,1152.12
h1,1,3,1.25 × F2026,2028,5910.26,1280.28,6869.029053999999,22.696642342348163,1168.59
h1,1,3,1.25 × F2026,2029,5975.87,1495.72,6869.029053999999,27.52058828275532,1147.4
h1,1,3,1.25 × F2026,2030,6023.42,1673.51,6869.029053999999,30.667733384060103,1111.15
h1,1,3,1.25 × F2026,2031,6023.63,1825.78,6869.029053999999,32.166983386866626,1118.73
h1,1,3,1.25 × F2026,2032,5998.92,1955.02,6869.029053999999,32.81367459337759,1160.16
h1,1,3,1.25 × F2026,2033,5956.93,2047.68,6869.029053999999,32.80043501899952,1169.36
h1,1,3,1.25 × F2026,2034,5951.69,2113.81,6869.029053999999,33.21535795487276,1141.03
h1,1,3,1.25 × F2026,2035,5974.08,2164.64,6869.029053999999,33.96420872176223,1121.22
h1,1,3,1.25 × F2026,2036,5975.19,2196.26,6869.029053999999,34.20104760915581,1138.49
h1,1,4,FMSY scenario,2027,5863.36,969.088,6869.029053999999,14.96937150099229,1246.79
h1,1,4,FMSY scenario,2028,5774.3,1147.25,6869.029053999999,16.998611140734095,1236.35
h1,1,4,FMSY scenario,2029,5793.48,1343.03,6869.029053999999,21.16128057761687,1196.89
h1,1,4,FMSY scenario,2030,5806.98,1508.52,6869.029053999999,24.070586522604902,1146.15
h1,1,4,FMSY scenario,2031,5781.58,1651.97,6869.029053999999,25.518101089247295,1148.84
h1,1,4,FMSY scenario,2032,5739.59,1775.83,6869.029053999999,26.238616041356444,1181.31
h1,1,4,FMSY scenario,2033,5691.5,1869.29,6869.029053999999,26.436893109456626,1179.27
h1,1,4,FMSY scenario,2034,5682.98,1935.24,6869.029053999999,26.998140424109334,1148.45
h1,1,4,FMSY scenario,2035,5693.63,1977.55,6869.029053999999,27.61318847415365,1134.77
h1,1,4,FMSY scenario,2036,5687.98,2005.75,6869.029053999999,27.798711070372455,1146.82
h1,1,5,TAC scenario (supplied TAC),2027,5657.43,1117.36,6869.029053999999,13.910685725051442,1491.6
h1,1,5,TAC scenario (supplied TAC),2028,5368.19,1383.12,6869.029053999999,13.89361955232477,1466.64
h1,1,5,TAC scenario (supplied TAC),2029,5152.85,1658.93,6869.029053999999,15.044898950434277,1469.13
h1,1,5,TAC scenario (supplied TAC),2030,4874.81,1926.02,6869.029053999999,15.023889805138166,1466.03
h1,1,5,TAC scenario (supplied TAC),2031,4593.6,2180.47,6869.029053999999,14.834686212756958,1437.24
h1,1,5,TAC scenario (supplied TAC),2032,4339.66,2416.19,6869.029053999999,14.758623917840415,1423.3
h1,1,5,TAC scenario (supplied TAC),2033,4096.78,2624.74,6869.029053999999,14.543854146618601,1406.34
h1,1,5,TAC scenario (supplied TAC),2034,3865.56,2828.47,6869.029053999999,14.414722337158503,1390.84
h1,1,5,TAC scenario (supplied TAC),2035,3635.43,3019.25,6869.029053999999,14.208603250445313,1373.47
h1,1,5,TAC scenario (supplied TAC),2036,3409.22,3202.21,6869.029053999999,13.997222278120832,1354.3
h2,1,6,F = 0,2027,7536.56,1292.25,6524.326427,78.32777322209309,0.0
h2,1,6,F = 0,2028,8438.76,1493.96,6524.326427,89.998200166748,0.0
h2,1,6,F = 0,2029,9404.52,1725.84,6524.326427,95.24279084425294,0.0
h2,1,6,F = 0,2030,10268.6,1955.29,6524.326427,97.22502658519026,0.0
h2,1,6,F = 0,2031,10943.5,2191.07,6524.326427,97.81471319050286,0.0
h2,1,6,F = 0,2032,11566.2,2455.64,6524.326427,97.99724903813565,0.0
h2,1,6,F = 0,2033,12122.9,2721.06,6524.326427,98.0180792282369,0.0
h2,1,6,F = 0,2034,12546.0,2969.26,6524.326427,97.8720121640181,0.0
h2,1,6,F = 0,2035,12922.9,3209.51,6524.326427,97.6903716333572,0.0
h2,1,6,F = 0,2036,13275.2,3428.45,6524.326427,97.55277334266539,0.0
h2,1,2,0.75 × F2026,2027,6902.45,1245.93,6524.326427,61.92406280614578,735.238
h2,1,2,0.75 × F2026,2028,7024.32,1406.3,6524.326427,63.89068377246253,817.505
h2,1,2,0.75 × F2026,2029,7176.8,1595.5,6524.326427,65.8710407781388,869.28
h2,1,2,0.75 × F2026,2030,7246.16,1769.48,6524.326427,65.83394573417631,906.579
h2,1,2,0.75 × F2026,2031,7251.81,1939.92,6524.326427,64.61723684205113,896.603
h2,1,2,0.75 × F2026,2032,7245.1,2111.25,6524.326427,63.3597483054408,929.064
h2,1,2,0.75 × F2026,2033,7191.8,2251.04,6524.326427,61.65826867979624,973.037
h2,1,2,0.75 × F2026,2034,7143.03,2352.57,6524.326427,60.37210513529718,968.484
h2,1,2,0.75 × F2026,2035,7181.95,2431.46,6524.326427,60.659853143975305,894.051
h2,1,2,0.75 × F2026,2036,7198.34,2477.36,6524.326427,60.721562840196455,920.407
h2,1,1,1 × F2026,2027,6728.46,1234.29,6524.326427,56.56796865378616,934.025
h2,1,1,1 × F2026,2028,6700.82,1387.54,6524.326427,55.0608515229485,973.064
h2,1,1,1 × F2026,2029,6735.85,1567.35,6524.326427,55.36767407891141,992.818
h2,1,1,1 × F2026,2030,6725.47,1728.66,6524.326427,54.631562482007176,994.139
h2,1,1,1 × F2026,2031,6676.59,1883.2,6524.326427,53.22208250517122,971.345
h2,1,1,1 × F2026,2032,6622.72,2030.89,6524.326427,51.93205961466,997.484
h2,1,1,1 × F2026,2033,6545.99,2143.01,6524.326427,50.403281740119525,1015.72
h2,1,1,1 × F2026,2034,6504.53,2221.01,6524.326427,49.64441730745248,987.533
h2,1,1,1 × F2026,2035,6526.15,2280.51,6524.326427,50.031900771913705,936.359
h2,1,1,1 × F2026,2036,6523.81,2314.23,6524.326427,49.99109748973392,958.398
h2,1,3,1.25 × F2026,2027,6567.67,1223.74,6524.326427,51.412715866763214,1117.37
h2,1,3,1.25 × F2026,2028,6416.36,1370.67,6524.326427,46.86081455808915,1102.56
h2,1,3,1.25 × F2026,2029,6360.7,1541.26,6524.326427,45.772609082974064,1088.1
h2,1,3,1.25 × F2026,2030,6292.43,1691.16,6524.326427,44.546690458040075,1057.19
h2,1,3,1.25 × F2026,2031,6203.21,1830.87,6524.326427,43.038656927460494,1025.32
h2,1,3,1.25 × F2026,2032,6118.09,1957.19,6524.326427,41.778585668154264,1042.32
h2,1,3,1.25 × F2026,2033,6032.06,2047.02,6524.326427,40.49792615173999,1037.79
h2,1,3,1.25 × F2026,2034,5995.96,2108.5,6524.326427,40.106603149687416,998.405
h2,1,3,1.25 × F2026,2035,5999.63,2154.44,6524.326427,40.37928123673982,966.927
h2,1,3,1.25 × F2026,2036,5984.53,2180.37,6524.326427,40.22331673615628,981.412
h2,1,4,FMSY scenario,2027,6347.89,1072.27,6524.326427,43.465115044647604,1367.8
h2,1,4,FMSY scenario,2028,6045.79,1165.44,6524.326427,34.06808039619938,1261.73
h2,1,4,FMSY scenario,2029,5887.93,1318.99,6524.326427,31.47297735857467,1195.21
h2,1,4,FMSY scenario,2030,5756.86,1463.7,6524.326427,30.00234230355331,1124.41
h2,1,4,FMSY scenario,2031,5624.45,1596.87,6524.326427,28.653866523567846,1081.18
h2,1,4,FMSY scenario,2032,5511.68,1712.53,6524.326427,27.715434818695968,1081.72
h2,1,4,FMSY scenario,2033,5422.6,1795.37,6524.326427,26.972375462027582,1052.45
h2,1,4,FMSY scenario,2034,5386.98,1849.03,6524.326427,26.92428992660567,1010.19
h2,1,4,FMSY scenario,2035,5368.22,1880.09,6524.326427,26.930351632948945,995.684
h2,1,4,FMSY scenario,2036,5341.53,1900.28,6524.326427,26.6828689309879,998.88
h2,1,5,TAC scenario (supplied TAC),2027,6243.53,1287.95,6524.326427,41.37074998620622,1489.38
h2,1,5,TAC scenario (supplied TAC),2028,5742.11,1485.53,6524.326427,29.925058132943043,1492.17
h2,1,5,TAC scenario (supplied TAC),2029,5325.81,1709.56,6524.326427,24.163054214502083,1492.61
h2,1,5,TAC scenario (supplied TAC),2030,4862.72,1937.79,6524.326427,19.559122033535186,1487.4
h2,1,5,TAC scenario (supplied TAC),2031,4377.24,2161.53,6524.326427,16.027753003025044,1479.92
h2,1,5,TAC scenario (supplied TAC),2032,3923.36,2377.14,6524.326427,13.69428737701656,1473.69
h2,1,5,TAC scenario (supplied TAC),2033,3477.2,2581.44,6524.326427,11.892099284944305,1466.96
h2,1,5,TAC scenario (supplied TAC),2034,3028.48,2789.06,6524.326427,10.502756717369975,1455.6
h2,1,5,TAC scenario (supplied TAC),2035,2573.17,2985.43,6524.326427,9.283792764818308,1435.01
h2,1,5,TAC scenario (supplied TAC),2036,2110.61,3174.5,6524.326427,8.220890377264379,1401.76
h2,2,6,F = 0,2027,4012.89,966.275,1304.5566870000002,99.74674155310744,0.0
h2,2,6,F = 0,2028,4029.25,945.279,1304.5566870000002,99.80268480395478,0.0
h2,2,6,F = 0,2029,4059.44,936.77,1304.5566870000002,99.8363340617259,0.0
h2,2,6,F = 0,2030,4098.4,941.52,1304.5566870000002,99.84982301722069,0.0
h2,2,6,F = 0,2031,4142.15,954.752,1304.5566870000002,99.85210216698393,0.0
h2,2,6,F = 0,2032,4184.63,971.39,1304.5566870000002,99.84860887813976,0.0
h2,2,6,F = 0,2033,4223.95,988.263,1304.5566870000002,99.84319111818361,0.0
h2,2,6,F = 0,2034,4263.27,1004.34,1304.5566870000002,99.83900632219729,0.0
h2,2,6,F = 0,2035,4298.69,1018.37,1304.5566870000002,99.83595914162372,0.0
h2,2,6,F = 0,2036,4326.8,1029.85,1304.5566870000002,99.83303481547617,0.0
h2,2,2,0.75 × F2026,2027,3953.76,965.67,1304.5566870000002,99.69595205493098,85.6912
h2,2,2,0.75 × F2026,2028,3883.58,941.757,1304.5566870000002,99.69142089066428,98.1266
h2,2,2,0.75 × F2026,2029,3824.46,928.171,1304.5566870000002,99.66853386666234,103.664
h2,2,2,0.75 × F2026,2030,3780.02,925.295,1304.5566870000002,99.62671396422351,104.754
h2,2,2,0.75 × F2026,2031,3749.87,928.048,1304.5566870000002,99.57918914508251,104.751
h2,2,2,0.75 × F2026,2032,3728.73,933.296,1304.5566870000002,99.53038203547023,104.488
h2,2,2,0.75 × F2026,2033,3714.25,939.432,1304.5566870000002,99.4842004705926,104.224
h2,2,2,0.75 × F2026,2034,3708.62,946.019,1304.5566870000002,99.44770298578646,104.01
h2,2,2,0.75 × F2026,2035,3707.06,951.883,1304.5566870000002,99.41977474297904,103.85
h2,2,2,0.75 × F2026,2036,3705.45,956.462,1304.5566870000002,99.3966545595399,103.735
h2,2,1,1 × F2026,2027,3934.64,965.373,1304.5566870000002,99.67792915483972,113.254
